kepid,kepoi_name,koi_disposition,koi_period,koi_duration,koi_depth,koi_time0bk
10797460,K00752.01,CONFIRMED,9.48803557,2.9575,615.8,170.53875
10797460,K00752.02,CONFIRMED,54.4183827,4.507,874.8,162.51384
10811496,K00753.01,CANDIDATE,19.89913995,1.7822,10829.0,175.850252
10848459,K00754.01,FALSE POSITIVE,1.736952453,2.40641,8079.2,170.307565
10854555,K00755.01,CONFIRMED,2.525591777,1.6545,603.3,171.59555
10872983,K00756.01,CONFIRMED,11.09432054,4.5945,1517.5,171.20116
10872983,K00756.02,CONFIRMED,4.13443512,3.1402,686.0,172.97937
10872983,K00756.03,CONFIRMED,2.56658897,2.429,226.5,179.55437
6721123,K00114.01,FALSE POSITIVE,7.36178958,5.022,233.7,132.25053
10910878,K00757.01,CONFIRMED,16.06864674,3.5347,4914.3,173.621937
11446443,K00001.01,CONFIRMED,2.470613377,1.74319,14230.9,122.763305
10666592,K00002.01,CONFIRMED,2.204735417,3.88864,6674.7,121.3585417
6922244,K00010.01,CONFIRMED,3.522498429,3.19843,9145.7,121.1194228
10984090,K00112.02,CONFIRMED,3.709214104,2.6302,131.1,133.98318
10419211,K00742.01,FALSE POSITIVE,11.521446064,3.6399,17984.3,170.839688
10464078,K00743.01,FALSE POSITIVE,19.40393776,12.2155,8918.7,172.484253
10480982,K00744.01,FALSE POSITIVE,19.221388942,4.79843,74284.0,184.5521637
10485250,K00745.01,FALSE POSITIVE,16.46983774,9.4378,10478.9,180.881761
10526549,K00746.01,CONFIRMED,9.27358173,3.2875,1288.3,173.258155
10583066,K00747.01,CONFIRMED,6.02930329,1.5821,1912.7,171.602959
10583180,K00748.01,FALSE POSITIVE,2.696370652,3.6129,397.9,170.73769
10601284,K00749.01,CONFIRMED,5.349553819,3.0278,831.0,171.80694
10601284,K00749.02,CONFIRMED,3.94105221,2.5984,363.3,136.08662
10601284,K00749.03,CONFIRMED,8.10904807,3.596,217.4,132.8031
2306756,K00113.01,FALSE POSITIVE,386.6030528,6.8057,24926.6,166.342079
10662202,K00750.01,CONFIRMED,21.67699193,3.4555,857.2,171.53594
10682541,K00751.01,CONFIRMED,4.99677968,2.1717,934.7,171.74208
11460018,K00769.01,CONFIRMED,4.280963604,2.875,750.8,171.89659
11463211,K00770.01,FALSE POSITIVE,1.50635409,1.5155,2211.7,170.998064
11465813,K00771.01,FALSE POSITIVE,670.645531,53.412,18090.6,209.04355
11493732,K00772.01,FALSE POSITIVE,61.2563628,7.633,5123.3,173.83826
11507101,K00773.01,CONFIRMED,38.3775486,5.588,724.2,172.82048
10910878,K00757.02,CONFIRMED,41.19725502,4.6297,2213.9,165.00404
10910878,K00757.03,CONFIRMED,6.252962249,2.5819,1036.9,171.30126
10987985,K00758.01,CONFIRMED,16.01308419,3.2554,1121.9,176.3608
11018648,K00759.01,CONFIRMED,32.62876672,4.7971,1804.8,194.1019
11018648,K00759.02,CONFIRMED,91.7732862,6.473,652.0,193.8378
11138155,K00760.01,CONFIRMED,4.959319244,2.22739,9802.0,172.2585292
11152159,K00761.01,FALSE POSITIVE,2.701287801,3.3827,860.4,170.69579
11153539,K00762.01,CONFIRMED,4.49876511,3.7362,460.0,171.34905
11242721,K00763.01,FALSE POSITIVE,19.651209505,5.2514,11766.3,179.401981
9579641,K00115.01,CONFIRMED,5.412203927,2.9472,601.6,133.143089
11304958,K00764.01,CONFIRMED,41.43958662,10.5989,2793.1,208.93203
11391957,K00765.01,CONFIRMED,8.35389523,2.2514,1041.6,171.63257
11403044,K00766.01,CONFIRMED,4.125543472,3.1744,1487.3,169.752585
11414511,K00767.01,CONFIRMED,2.816504904,2.50587,16813.7,170.9676846
11442465,K00768.01,FALSE POSITIVE,33.93373447,14.561,8503.7,186.67608
12110942,K00786.01,CONFIRMED,3.689920099,2.6557,426.7,170.36571
12366084,K00787.01,CONFIRMED,4.431238488,3.15,1010.9,171.015
12366084,K00787.02,CONFIRMED,11.37936986,2.6255,1023.5,133.84992
12404086,K00788.01,CONFIRMED,26.39432897,3.573,1510.9,176.05459
8395660,K00116.01,CONFIRMED,13.57078281,3.3539,511.7,136.279194
9579641,K00115.02,CONFIRMED,7.12594387,3.0014,192.4,139.00492
11656840,K00774.01,FALSE POSITIVE,7.442652004,2.3078,24446.2,169.9717797
11754553,K00775.01,CONFIRMED,16.38489988,3.0249,1127.1,172.72782
11754553,K00775.02,CONFIRMED,7.8774163,2.0805,1306.1,176.3759
11754553,K00775.03,CONFIRMED,36.4454001,4.007,1122.3,151.60125
11812062,K00776.01,CONFIRMED,3.728732147,2.683,5226.5,171.793255
11818800,K00777.01,CANDIDATE,40.4195037,3.362,6256.0,173.56469
11853255,K00778.01,CONFIRMED,2.243380573,1.1196,821.7,170.679233
11909839,K00779.01,FALSE POSITIVE,10.405998015,6.5036,14488.8,177.197466
11918099,K00780.01,CONFIRMED,2.337437946,1.9982,971.2,171.761982
11918099,K00780.02,CANDIDATE,7.2406612,0.558,556.4,137.75545
9579641,K00115.03,CANDIDATE,3.43591631,3.133,23.2,132.6624
11923270,K00781.01,CONFIRMED,11.59822233,2.5237,2804.5,180.395376
11960862,K00782.01,CONFIRMED,6.575315881,4.3084,2793.3,173.634044
12020329,K00783.01,CONFIRMED,7.275040844,7.5377,3001.0,169.994217
12066335,K00784.01,CONFIRMED,19.27153892,2.7594,1219.8,186.77093
12066335,K00784.02,CONFIRMED,10.06524317,1.369,1053.3,136.28906
12070811,K00785.01,CONFIRMED,12.3935651,3.8896,916.6,178.74725
8395660,K00116.02,CONFIRMED,43.84439721,6.802,615.2,151.93538
3120431,K00798.01,FALSE POSITIVE,3.341913228,3.813,725.3,171.63943
3246984,K00799.01,FALSE POSITIVE,1.626630225,2.1145,1620.6,169.820171
3342970,K00800.01,CONFIRMED,2.711504086,3.0099,837.5,170.03417
3342970,K00800.02,CONFIRMED,7.21203748,4.0491,950.4,172.81782
12459725,K00789.01,FALSE POSITIVE,14.1798187,2.505,459.9,171.50237
12470844,K00790.01,CONFIRMED,8.47237911,2.7245,1123.5,174.16212
12470844,K00790.02,CONFIRMED,60.4189369,5.039,931.3,181.16367
12644822,K00791.01,CONFIRMED,12.611904345,5.1497,6105.6,180.892284
2440757,K00792.01,FALSE POSITIVE,1.433769925,1.8868,1976.3,170.403536
2445129,K00793.01,FALSE POSITIVE,10.31872301,3.836,871.7,173.31543
2713049,K00794.01,CONFIRMED,2.539183147,2.4282,382.1,169.67494
3114167,K00795.01,CONFIRMED,6.770300385,2.0844,1304.0,170.57662
3114661,K00796.01,FALSE POSITIVE,0.444291966,2.0792,10967.4,169.865406
3115833,K00797.01,CANDIDATE,10.181584004,3.5089,5741.1,177.141891
4139816,K00812.02,CONFIRMED,20.06036336,3.3203,1494.7,147.46554
4139816,K00812.03,CONFIRMED,46.1842039,4.758,1394.7,165.23729
8395660,K00116.04,CONFIRMED,23.9800854,5.351,104.0,147.537
4139816,K00812.04,CONFIRMED,7.82502168,2.186,520.8,136.54995
4275191,K00813.01,CONFIRMED,3.895936525,2.3111,8544.8,170.527552
4476123,K00814.01,CONFIRMED,22.36646466,5.228,986.8,175.45862
3351888,K00801.01,CONFIRMED,1.625522174,2.38963,7969.0,170.8266564
3453214,K00802.01,CANDIDATE,19.620346923,2.0038,21724.6,181.881819
3554600,K00803.01,FALSE POSITIVE,7.544039,6.222,322.6,171.7982
3641726,K00804.01,CONFIRMED,9.02930689,3.1449,1019.8,177.20422
3734868,K00805.01,FALSE POSITIVE,10.328035714,7.7915,16917.7,174.581054
3832474,K00806.01,CONFIRMED,143.2063047,8.9302,10565.7,154.23552
8395660,K00116.03,CONFIRMED,6.164876,3.262,55.8,135.63916
3832474,K00806.02,CONFIRMED,60.32494216,6.6188,20280.4,243.892578
3832474,K00806.03,CONFIRMED,29.1598615,4.803,488.0,150.69922
3836375,K00807.01,FALSE POSITIVE,1.540397253,2.1541,816.1,170.50479
3838486,K00808.01,FALSE POSITIVE,2.99025443,5.414,589.2,171.9834
3935914,K00809.01,CONFIRMED,1.594745374,1.9604,15044.5,170.6483505
3940418,K00810.01,CONFIRMED,4.783002698,2.335,1008.7,170.508434
4049131,K00811.01,CONFIRMED,20.50588921,4.0595,2105.5,181.43428
4139816,K00812.01,CONFIRMED,3.340218842,1.9104,1632.6,171.979062
5287983,K00828.01,FALSE POSITIVE,2.507089906,2.0067,1339.2,171.002455
5358241,K00829.01,CONFIRMED,18.64932728,4.4056,893.6,174.771
10875245,K00117.02,CONFIRMED,4.90144976,4.1654,140.7,138.60548
5358241,K00829.02,CONFIRMED,9.75192101,4.793,418.0,138.78608
5358241,K00829.03,CONFIRMED,38.5576546,5.794,993.0,163.85063
5358624,K00830.01,CONFIRMED,3.525632539,2.59959,22335.0,170.0479951
4544670,K00815.01,CANDIDATE,34.84398644,2.9315,4523.6,172.633252
4664847,K00816.01,CONFIRMED,7.748094239,3.5957,2472.1,174.997206
4725681,K00817.01,CONFIRMED,23.96793669,3.827,1182.3,186.22182
4725681,K00817.02,CONFIRMED,8.29561738,1.3421,824.3,135.79284
4913852,K00818.01,CONFIRMED,8.11437482,2.2736,1558.0,176.33968
4932348,K00819.01,FALSE POSITIVE,38.036729482,4.34617,82871.6,196.934947
4936180,K00820.01,CANDIDATE,4.64090031,35.512,2450.6,173.64638
11913073,K00011.01,FALSE POSITIVE,3.747838198,5.0642,616.0,171.66504
10875245,K00117.01,CONFIRMED,14.74914825,6.0995,430.2,138.77799
5021899,K00821.01,CONFIRMED,21.81295996,4.3791,1175.4,174.01085
5077629,K00822.01,FALSE POSITIVE,7.91936937,3.3148,15148.1,172.181092
5115978,K00823.01,CANDIDATE,1.028436523,1.8606,8098.0,170.228582
5164255,K00824.01,CONFIRMED,15.37562369,3.3169,15337.0,173.61402
5252423,K00825.01,CONFIRMED,8.10363271,3.161,887.9,176.9486
5252423,K00825.02,CONFIRMED,4.71510843,2.506,417.5,134.96178
5272878,K00826.01,CONFIRMED,6.365839713,2.9721,780.7,171.13575
5283542,K00827.01,FALSE POSITIVE,5.97581754,3.065,962.4,174.77602
5649215,K00839.01,FALSE POSITIVE,2.446737317,4.7211,1177.9,170.66951
5651104,K00840.01,CONFIRMED,3.04033046,1.8411,10858.8,169.9490106
5792202,K00841.01,CONFIRMED,15.33528675,3.897,3081.4,174.00278
10875245,K00117.04,CONFIRMED,7.95825328,4.377,50.0,137.80219
5792202,K00841.02,CONFIRMED,31.33046135,5.176,5073.8,153.43031
5370302,K00831.01,FALSE POSITIVE,3.9043425,3.831,16228.4,173.393734
5372966,K00832.01,FALSE POSITIVE,9.286358079,3.49949,44791.4,171.8214689
5376067,K00833.01,FALSE POSITIVE,3.951405455,2.1862,2453.9,173.276125
5436502,K00834.01,CONFIRMED,23.65369415,8.2183,3341.8,171.376107
5436502,K00834.02,CONFIRMED,13.23352214,6.7372,504.6,140.32196
5436502,K00834.03,CONFIRMED,6.15560285,4.9843,285.0,134.81656
5436502,K00834.04,CONFIRMED,2.090811305,3.388,115.9,134.17462
10875245,K00117.03,CONFIRMED,3.180027898,3.5797,120.3,133.49863
5436502,K00834.05,CONFIRMED,50.4467417,7.159,370.3,178.5014
5456651,K00835.01,CONFIRMED,11.76307164,2.9076,1037.3,180.93613
5456651,K00835.02,CONFIRMED,56.2279271,3.57,862.7,132.29259
5481416,K00836.01,FALSE POSITIVE,2.384052875,3.0918,1268.1,171.58362
