kepid,period,time0
1026032,8.460438,133.7738129999998
1026957,21.761306,123.01710599999933
1161345,4.287456,172.02898299999651
1432214,161.7883,214.03925400000298
1433410,0.283275,166.951810999999
1433980,1.592634,167.3663979999983
1571511,14.022451,121.50475200000074
1572353,0.228931,131.6745729999966
1573836,3.557093,167.03456300000107
1575690,2.252428,132.43273800000316
1722276,569.95,248.92369999999937
1868650,0.584731,120.76967799999693
1873513,3.290383,168.07463499999722
1995732,77.362721,216.45585299999948
2010607,18.632296,141.48967499999708
2012362,0.386323,131.74470499999734
2019076,7.129228,171.07221800000116
2141697,0.331043,120.8367419999995
2159783,0.373884,131.9755490000025
2161623,2.28347,166.59983700000157
2162283,0.906378,121.34155299999838
2162994,4.101596,132.63165299999673
2166200,8.096956,173.12733899999876
2167890,2.648301,352.8432529999991
2302092,0.294673,131.69058100000257
2305277,0.378772,131.98669299999892
2305372,1.404692,132.954227000002
2305543,1.362273,170.4009090000036
2306740,10.306987,133.42520700000023
2306756,386.6,166.34223100000236
2307199,13.447111,173.17659399999684
2307206,204.031379,253.53868199999852
2308957,2.219684,132.1664610000007
2309587,1.838511,132.10135099999752
2309719,54.35636,164.06927800000267
2435971,0.271828,131.81596700000227
2436378,8.531613,136.27807600000233
2437038,0.267678,131.9806929999977
2437060,3.18711,167.89072399999714
2437149,18.798735,175.62182400000165
2437452,14.46993,141.81652999999642
2437505,21.476422,149.26185899999837
2438061,4.885852,171.09362700000202
2438490,3.315767,168.0144530000034
2440757,1.433771,131.68595600000117
2441161,4.38398,171.6845239999966
2442084,49.788598,175.1920919999975
2444187,0.390159,131.8149790000025
2444348,103.206989,159.47411999999895
2445134,8.412009,139.6477490000034
2445975,3.388882,134.98111400000198
2446623,175.06572,179.04323399999703
2447893,0.66162,132.11374200000137
2448320,0.274108,169.065502999998
2449084,0.739757,167.31986499999766
2449090,4.944,168.8110369999995
2450566,1.844587,168.55328600000212
2452440,8.097045,170.8110450000022
2453212,0.436716,169.01447500000359
2556127,0.418871,120.7102739999973
2557430,1.297736,121.4610360000006
2558370,0.546248,167.09266599999683
2569494,1.523324,167.3491869999998
2570289,0.279028,131.57932099999744
2571439,0.320979,131.70157199999812
2576107,205.583017,29.17142199999944
2576692,87.878533,194.1066920000012
2577756,0.870333,131.66282099999808
2580872,15.926628,145.55129899999883
2693092,39.841524,128.29893699999957
2694741,0.326647,120.77372099999775
2695740,3.615875,123.41820000000007
2696703,6.094094,164.11651600000187
2697935,21.513359,175.46944000000076
2708156,1.891272,121.33559499999683
2708614,52.88589,199.89302199999656
2711114,2.85888,134.17493100000138
2715007,0.29711,131.78211900000315
2715417,0.23644,131.666158
2717141,0.394572,120.75617400000192
2719436,0.74348,166.71536000000197
2719873,17.27929,135.27334900000278
2720096,26.67468,170.0292830000035
2720354,2.821328,123.21538200000214
2831632,2.573172,121.72995999999694
2835289,0.857762,167.44295899999997
2851100,0.890108,132.36497300000337
2851474,2.768293,132.5266499999998
2852560,11.961308,131.91244500000175
2854432,0.322326,131.88032899999962
2854752,0.470433,131.89300599999842
2854948,0.974304,169.4102120000025
2856960,0.258507,131.65850599999976
2858322,0.4364,131.6598010000016
2860594,5.499945,127.31774099999893
2860788,5.259742,132.0669110000017
2970804,0.686992,131.6583230000033
2972514,0.503485,166.88193799999863
2973509,6.627611,125.91828199999873
2983113,0.39516,168.96964000000298
2987433,420.93,196.6801090000008
2988984,0.71302,166.99155600000086
2996347,0.301011,169.1463220000005
2997455,1.12985,131.78864700000122
2998124,28.597884,124.38552799999889
3003991,7.244779,131.8590849999964
3097352,4.02984,166.6549210000012
3098194,30.476531,136.9719780000014
3102000,57.060009,164.25562000000355
3102024,13.782521,125.69736900000134
3104113,0.846786,132.28491599999688
3113266,0.995861,131.84753400000045
3114667,0.888583,166.75322199999937
3115480,3.693703,135.19427500000165
3119295,0.439698,167.0540949999995
3120320,10.265613,126.22231499999907
3122985,0.993488,132.60001699999702
3124420,0.948951,167.57151100000192
3127817,4.327139,122.11773399999947
3127873,0.671526,131.98232499999722
3128793,24.679381,137.77092399999674
3218683,0.77167,132.11832600000344
3221207,0.47383,120.96035799999663
3222471,618.42,536.55141
3228824,0.730942,137.34561699999904
3228863,0.730944,121.26234500000282
3230227,7.047106,125.70223799999803
3230578,6.33761,125.82891499999823
3230787,17.734052,126.18368799999735
3231120,3.90009,168.47811899999942
3232823,0.423907,131.86286700000346
3240159,82.137655,196.12140999999974
3240706,5.489865,137.00328799999988
3240976,15.238869,169.37743300000147
3241344,3.912678,133.42816799999855
3241619,1.703344,122.24795099999756
3245776,1.492059,168.64300399999775
3247294,67.418828,133.43345399999816
3248019,2.668222,265.77300000000105
3248332,7.363607,123.97501000000193
